"Section","File","Words","H1","Req","QuickCopy","Fence","Callout","WhatIsIt","BackLink"
"agent","bossbuddy","1024","0","0","0","0","0","0","0"
"agent","chief of staff","1867","1","0","0","1","1","1","0"
"agent","impact check","1103","0","0","0","0","0","0","0"
"agent","professor x","425","1","0","0","0","0","0","0"
"agent","readline rover","465","1","0","0","0","0","0","0"
"agent","taskmaster","696","0","0","0","0","0","0","0"
"education","ai-ready file naming and metadata for ai","912","1","0","0","1","0","0","0"
"education","claude in copilot with agent mode for excel","1079","0","0","0","0","0","0","0"
"education","copilot agent billing, credits and cost attribution","1566","1","0","0","0","1","0","0"
"education","copilot governance getting started","876","0","0","0","0","0","0","0"
"education","copilot licensing and deployment, who gets what","728","1","0","0","0","1","0","0"
"education","getting started with copilot premium, an executive playbook","5960","1","0","0","1","1","0","0"
"education","microsoft agent 365 licensing architecture and how it fits into your ai strategy","3350","1","0","0","0","1","0","0"
"education","right-sizing cowork who actually needs it","1021","1","0","0","0","0","0","0"
"prompt","1 on 1 weekly manager update for copilot cowork","1030","1","0","0","0","0","1","0"
"prompt","10 executive prompts","556","1","0","0","1","0","0","0"
"prompt","10 starter copilot chat prompts","240","1","0","0","0","1","1","0"
"prompt","career capability and growth planner","770","1","0","1","1","1","1","0"
"prompt","career growth","70","1","1","0","0","0","0","0"
"prompt","check my calendar","94","0","0","0","0","0","0","0"
"prompt","contextual filter, gain a new perspective prompt","91","1","0","0","0","0","1","0"
"prompt","copilot in outlook prompt pack","587","1","0","0","0","1","1","0"
"prompt","copilot in powerpoint skills pack","2942","1","0","0","1","1","1","0"
"prompt","copilot memory","459","1","1","0","0","0","0","0"
"prompt","copilot personalization","1442","1","1","1","1","0","0","0"
"prompt","copywriting precision and tone enhancer","256","1","0","0","0","0","1","0"
"prompt","daily account and executive readout","680","1","0","0","0","1","1","0"
"prompt","daily ai news","1003","1","0","0","0","1","1","0"
"prompt","devils advocate skeptical stakeholder","92","1","0","0","0","0","1","0"
"prompt","getting started with copilot","82","0","0","0","0","0","0","0"
"prompt","grill my coding plan","1359","1","0","1","1","1","1","0"
"prompt","guardian council skills","2436","1","0","0","1","1","1","0"
"prompt","it power moves prompt pack","924","1","0","0","0","1","1","0"
"prompt","karpathy coding guidelines","1747","1","0","1","1","1","1","0"
"prompt","leadership style and voice distiller","213","1","0","0","0","0","1","0"
"prompt","level up prompt","529","1","1","0","0","0","0","0"
"prompt","meeting notes to action items","106","1","0","0","0","0","1","0"
"prompt","monthly account review","757","1","0","0","0","1","1","0"
"prompt","morning-kickoff-afternoon-reset-and-wrap-up","496","1","1","0","0","0","0","0"
"prompt","my work life on one whiteboard","664","1","0","1","1","1","1","0"
"prompt","positivity prompts","253","1","1","0","0","0","0","0"
"prompt","proofread prompt","195","1","1","0","0","0","0","0"
"prompt","start my day","62","1","1","0","0","0","0","0"
"prompt","weekly case study review","153","1","0","0","0","0","1","0"
"prompt","worst traits","158","1","1","0","0","0","0","0"
